dates,Hour,Hs,Hsd
13-Jan-1992,9,8.05,212
23-Jan-1992,18,10.12,181
02-Feb-1992,3,9.48,233
07-Feb-1992,3,8.96,220
17-Feb-1992,21,9.85,242
18-Feb-1992,0,10.02,245
21-Feb-1992,3,10.11,234
25-Feb-1992,21,9.26,203
29-Feb-1992,12,8.87,206
03-Mar-1992,21,8.22,199
04-Mar-1992,3,10.81,208
08-Mar-1992,15,9.11,183
17-Mar-1992,0,10.01,230
22-Oct-1992,21,7.55,244
08-Dec-1992,21,7.63,226
21-Dec-1992,15,10.18,236
24-Dec-1992,0,11.92,237
08-Jan-1993,9,8.2,243
20-Jan-1993,18,8.2,211
30-Jan-1993,21,10.9,237
02-Feb-1993,0,12.11,217
03-Feb-1993,9,9.34,240
13-Feb-1993,0,9.7,209
18-Feb-1993,9,8.38,245
24-Feb-1993,6,7.86,243
02-Mar-1993,12,7.8,248
16-Mar-1993,21,9.85,229
19-Mar-1993,15,10.39,238
20-Mar-1993,0,9.4,239
27-Apr-1993,0,7.7,248
19-Aug-1993,3,7.79,216
23-Oct-1993,6,8.97,250
10-Nov-1993,15,8.48,240
16-Nov-1993,3,13.69,208
20-Nov-1993,6,9,175
26-Nov-1993,21,8.35,163
27-Nov-1993,3,9.1,179
27-Dec-1993,9,8.55,228
19-Jan-1994,12,10.6,241
21-Jan-1994,9,12.43,240
23-Jan-1994,0,8.25,240
27-Jan-1994,3,7.63,217
31-Jan-1994,9,8.7,221
04-Mar-1994,3,8.55,223
07-Mar-1994,6,7.73,222
11-Mar-1994,6,8.65,222
22-Mar-1994,18,10.97,218
21-Nov-1994,18,9,206
22-Nov-1994,0,8.05,209
27-Nov-1994,3,12.43,228
28-Nov-1994,3,10.49,238
15-Dec-1994,21,7.52,240
16-Dec-1994,0,7.55,242
24-Dec-1994,3,7.65,230
07-Jan-1995,21,10.86,237
14-Jan-1995,18,8.32,239
15-Jan-1995,0,7.87,237
03-Feb-1995,15,10.58,211
27-Feb-1995,6,7.74,239
12-Mar-1995,21,7.69,214
13-Mar-1995,9,9.02,218
31-Mar-1995,18,12.1,244
12-Apr-1995,15,10.69,226
21-Sep-1995,18,8.59,240
04-Dec-1995,21,8.03,186
05-Dec-1995,0,8.27,188
10-Dec-1995,15,7.59,212
16-Jan-1996,6,8.54,246
16-Feb-1996,3,10.48,234
21-Feb-1996,15,12.22,255
08-Mar-1996,12,7.7,184
11-Mar-1996,12,12.22,220
08-Oct-1996,18,9.89,237
09-Oct-1996,0,9.72,245
14-Nov-1996,15,11.01,253
21-Jan-1997,18,9.53,246
24-Jan-1997,15,9.38,231
25-Jan-1997,0,8.14,234
05-Feb-1997,15,9.27,236
11-Feb-1997,6,10.6,224
19-Feb-1997,3,12.14,231
28-Feb-1997,18,8.15,207
04-Mar-1997,15,10.04,213
06-Mar-1997,3,13.12,245
09-Mar-1997,3,12.8,223
11-Mar-1997,6,8.13,239
25-Mar-1997,21,10.56,227
26-Mar-1997,0,10.08,226
01-Apr-1997,6,8.47,247
29-Sep-1997,9,9.64,241
15-Dec-1997,18,8.97,186
31-Dec-1997,18,8.7,237
20-Jan-1998,21,10.71,198
26-Feb-1998,12,7.98,235
15-Mar-1998,18,12.28,249
23-Mar-1998,9,7.87,212
21-Nov-1998,9,9.28,200
24-Nov-1998,15,10.46,224
25-Nov-1998,0,8.98,233
28-Nov-1998,6,8.17,204
17-Dec-1998,3,8.39,193
22-Dec-1998,0,7.67,227
25-Dec-1998,15,11.16,224
12-Jan-1999,9,8.25,253
01-Feb-1999,18,10.13,208
02-Feb-1999,12,9.21,230
15-Feb-1999,6,8.56,250
25-Feb-1999,21,7.66,229
26-Feb-1999,6,8.66,231
28-Oct-1999,12,10.01,236
21-Nov-1999,9,8.18,243
31-Dec-1999,21,12.03,234
01-Jan-2000,0,12.4,236
10-Jan-2000,15,14.41,227
05-Feb-2000,21,8.54,228
06-Feb-2000,0,8.87,231
09-Feb-2000,18,11.09,216
14-Feb-2000,21,11.7,235
15-Feb-2000,0,11.61,237
23-Feb-2000,12,10.61,214
24-Feb-2000,6,9.68,229
12-Mar-2000,21,8.46,251
13-Mar-2000,0,8.7,254
18-Mar-2000,12,10.61,248
19-Mar-2000,18,9.15,248
12-Jan-2001,18,7.98,207
14-Jan-2001,3,9.11,209
13-Feb-2001,21,8.05,227
16-Feb-2001,15,7.58,241
20-Feb-2001,12,9.95,253
21-Feb-2001,0,9.83,256
02-Nov-2001,18,11.13,229
03-Nov-2001,0,10.95,238
10-Nov-2001,12,9.49,265
16-Nov-2001,18,9.2,229
24-Nov-2001,3,8.14,252
08-Dec-2001,0,8.1,243
06-Jan-2002,18,9.28,212
09-Jan-2002,21,8.32,221
14-Feb-2002,18,8.33,252
16-Feb-2002,0,8.62,242
02-Mar-2002,21,7.8,259
03-Mar-2002,6,8.41,258
01-Sep-2002,21,8.37,241
02-Sep-2002,0,7.91,241
06-Dec-2002,12,8.11,225
27-Jan-2003,6,9.79,234
01-Feb-2003,0,9.51,257
09-Feb-2003,6,7.93,239
11-Feb-2003,9,9.78,235
14-Feb-2003,0,9.8,220
17-Feb-2003,21,7.93,179
21-Mar-2003,9,9.61,224
22-Mar-2003,0,8.2,222
26-Mar-2003,6,8.86,237
05-Sep-2003,0,7.51,208
20-Sep-2003,21,7.52,256
21-Sep-2003,0,7.96,261
09-Oct-2003,15,7.53,227
03-Dec-2003,21,8.53,249
24-Dec-2003,9,9.97,246
03-Mar-2004,0,10.19,184
25-Sep-2004,9,7.74,246
03-Dec-2004,6,7.63,263
06-Dec-2004,9,10.26,219
08-Dec-2004,21,9.94,219
13-Dec-2004,9,8.61,224
28-Dec-2004,6,9.44,255
31-Dec-2004,21,9.6,237
01-Jan-2005,0,8.62,238
04-Jan-2005,18,13.15,239
17-Jan-2005,18,11.5,243
02-Feb-2005,18,9.89,236
03-Feb-2005,0,8.71,235
08-Feb-2005,0,8.82,245
09-Feb-2005,9,9.62,245
16-Feb-2005,9,9.99,252
11-Nov-2005,0,8.36,233
09-Dec-2005,9,9.14,222
03-Jan-2006,9,9.25,234
07-Jan-2006,0,7.64,185
11-Apr-2006,0,7.66,245
05-Nov-2006,12,11.04,249
10-Nov-2006,21,8.7,252
11-Dec-2006,3,11.56,225
21-Dec-2006,21,10.93,233
22-Dec-2006,0,12.67,245
05-Jan-2007,21,7.9,230
06-Jan-2007,0,7.77,232
01-Feb-2007,21,8.15,236
02-Feb-2007,3,8.58,239
09-Mar-2007,15,10.8,227
11-Mar-2007,12,13.53,210
14-Mar-2007,12,8.55,235
23-Oct-2007,21,7.97,224
24-Oct-2007,3,8.5,229
24-Nov-2007,3,9.16,248
30-Nov-2007,21,8.22,195
14-Dec-2007,21,12.32,207
18-Dec-2007,3,7.72,176
31-Dec-2007,15,8.59,220
01-Jan-2008,6,8.71,207
22-Jan-2008,21,11.49,219
27-Jan-2008,18,12.76,226
28-Jan-2008,0,11.52,230
08-Feb-2008,21,9.07,175
10-Feb-2008,0,12.29,239
22-Feb-2008,6,9.37,235
17-Sep-2008,6,8.2,214
18-Sep-2008,3,8.23,241
10-Oct-2008,0,12.33,205
24-Oct-2008,0,8.07,279
05-Nov-2008,9,8.59,215
19-Dec-2008,3,8.82,235
23-Dec-2008,15,10.52,227
17-Jan-2009,12,8.6,229
19-Feb-2009,3,8.31,244
03-Mar-2009,0,8.16,247
16-Mar-2009,9,9.39,231
22-Mar-2009,9,8.24,250
26-Sep-2009,18,7.76,246
09-Dec-2009,18,9.42,203
25-Jan-2010,9,7.63,194
26-Dec-2010,12,8.16,168
20-Jan-2011,18,8.76,241
21-Jan-2011,0,8.06,246
30-Jan-2011,15,10.04,240
03-Feb-2011,6,10.04,229
09-Feb-2011,21,8.93,225
13-Feb-2011,3,11.15,205
24-Feb-2011,6,8.15,201
28-Feb-2011,21,9.01,241
01-Mar-2011,6,10.64,242
06-Mar-2011,21,8.71,247
07-Mar-2011,3,8.94,248
15-Mar-2011,9,9.92,247
16-Mar-2011,0,8.29,249
22-Mar-2011,3,7.53,246
07-Apr-2011,0,8.53,244
11-Apr-2011,3,9.35,227
14-Apr-2011,21,9.1,233
15-Apr-2011,9,10.52,243
24-Apr-2011,12,11.05,224
08-Nov-2011,9,8.14,184
21-Nov-2011,3,8.83,232
23-Nov-2011,9,8.22,242
11-Dec-2011,9,8.89,239
20-Dec-2011,6,7.99,254
24-Dec-2011,15,10.17,233
26-Dec-2011,3,9.08,236
02-Jan-2012,0,7.58,227
06-Jan-2012,21,8.47,238
09-Jan-2012,9,10.75,244
10-Jan-2012,12,10.67,253
18-Jan-2012,9,9.74,248
21-Jan-2012,0,7.88,238
07-Feb-2012,21,9.09,224
16-Feb-2012,12,8.59,255
24-Feb-2012,12,9.48,235
02-Mar-2012,21,9.44,197
06-Mar-2012,21,8.6,252
07-Mar-2012,21,12.32,247
11-Mar-2012,6,9.02,247
14-Mar-2012,0,8.04,234
19-Mar-2012,21,8.34,234
13-Sep-2012,12,8.9,237
16-Nov-2012,3,8.12,239
05-Jan-2013,9,7.89,209
21-Jan-2013,6,8.16,171
27-Jan-2013,12,8.06,173
04-Feb-2013,3,11.21,236
27-Feb-2013,6,7.94,221
20-Apr-2013,21,7.52,238
22-Apr-2013,15,8.64,240
02-Sep-2013,18,8.55,245
31-Oct-2013,6,7.61,219
11-Nov-2013,9,12.06,230
12-Nov-2013,0,9.67,238
27-Nov-2013,9,10.01,244
04-Dec-2013,0,8.8,256
09-Dec-2013,9,7.56,233
14-Dec-2013,9,7.99,229
23-Dec-2013,3,8.31,242
25-Jan-2014,21,10.99,227
26-Jan-2014,0,10.57,226
